"","BM","OU","EB"
"Size",NA,NA,NA
"Full configuration",-77310.1250074173,-77968.0112671296,-77308.1269368503
"Basicranium",-61536.6153416784,-61881.7696236185,-61534.6153416784
"Rest of cranium",-44893.2433106739,-88533.1591819713,-44891.2424776387
"Locomotion",NA,NA,NA
"Full configuration",-71819.5200543482,-72553.5953390227,-71817.5438737208
"Full config. residuals ",-73251.80944681,-74320.9719354269,-73249.8786827598
"Basicranium",-57770.2787285329,-58159.8055928007,-57768.2787285329
"Basicranium residuals ",-58039.0648315444,-58428.5585319039,-58037.0648315444
"Rest of cranium",-40927.5947462448,-41591.8862824283,-40924.8728408102
"Rest of cranium residuals",-41724.2094732967,-42601.3840841738,-41722.4706874304
"Diet",NA,NA,NA
"Full configuration",-73947.5319290699,-74624.7172820038,-73945.5291673818
"Full config. residuals ",-75093.9990100469,-75970.2665671847,-75092.105745933
"Basicranium",-59016.5105217379,-59394.0079859602,-59014.5105217379
"Basicranium residuals ",-59259.311884679,-59634.1778813624,-59257.311884679
"Rest of cranium",-42655.3780404129,-43313.7805030507,-42654.0443351002
"Rest of cranium residuals",-43378.726375462,-44111.4420827059,-43377.5303233672
