"","Pillai Statistic","p"
"Size",NA,NA
"Full configuration",0.950156653644151,9.99900009999e-05
"Basicranium",0.877910098213377,0.0001999800019998
"Rest of Cranium",0.989387598655981,0.0008999100089991
"Locomotion",NA,NA
"Full configuration",2.73527355392428,0.844115588441156
"Full config. residuals ",2.83367868944994,0.756124387561244
"Basicranium",2.32247557146906,0.442855714428557
"Basicranium residuals ",2.43414846810513,0.253374662533747
"Rest of Cranium",2.58513553607569,0.667833216678332
"Rest of Cranium residuals",2.67035322351418,0.552244775522448
"Diet",NA,NA
"Full configuration",2.19708084298445,0.511448855114489
"Full config. residuals",2.19823796938851,0.582541745825418
"Basicranium",1.89095353332086,0.173882611738826
"Basicranium residuals ",1.82247483721538,0.283671632836716
"Rest of Cranium",2.26162260580346,0.0430956904309569
"Rest of Cranium residuals",2.25091575076932,0.0690930906909309
